,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Binned 1st Semester,Binned 2nd Semester
2083,1,1,3,15,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,7,6,14.857142857142858,0,0,6,6,6,14.666666666666666,0,13.9,-0.3,0.79,Graduate,Above Average GPA,Above Average GPA
2084,1,1,1,15,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,6,7,6,14.285714285714286,0,0,6,6,6,13.166666666666666,0,11.1,0.6,2.02,Graduate,Above Average GPA,Average GPA
2085,1,1,4,15,1,1,1,1,1,1,1,0,0,0,0,0,0,18,0,0,4,4,0,0.0,0,0,4,4,0,0.0,0,12.7,3.7,-1.7,Dropout,Very Low GPA,Very Low GPA
2086,1,4,1,3,0,3,1,1,1,1,1,0,0,0,1,0,0,30,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,Very Low GPA,Very Low GPA
2087,1,8,1,8,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,8,6,15.0,0,0,6,8,5,15.166666666666666,0,13.9,-0.3,0.79,Dropout,Above Average GPA,Above Average GPA
2088,1,1,3,12,1,1,1,1,1,1,1,1,0,0,1,0,1,20,0,0,7,7,6,12.633333333333333,0,0,7,7,6,12.633333333333333,0,7.6,2.6,0.32,Graduate,Average GPA,Average GPA
2089,1,12,1,14,1,12,1,1,1,1,1,0,0,1,0,0,0,25,0,0,5,5,5,11.2,0,0,5,5,5,12.6,0,9.4,-0.8,-3.12,Dropout,Low GPA,Average GPA
2090,1,1,5,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,7,7,6,14.233333333333334,0,0,7,7,6,14.233333333333334,0,7.6,2.6,0.32,Graduate,Above Average GPA,Above Average GPA
2092,1,1,1,12,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,8,8,7,15.7,0,0,8,8,7,15.7,0,12.7,3.7,-1.7,Graduate,Above Average GPA,Above Average GPA
2093,1,1,1,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,7,7,6,15.2,0,0,7,7,6,15.2,0,7.6,2.6,0.32,Graduate,Above Average GPA,Above Average GPA
2094,1,8,1,16,1,1,1,1,1,1,1,1,0,0,0,0,0,29,0,0,6,9,6,16.333333333333332,0,0,6,8,5,15.6,0,12.7,3.7,-1.7,Dropout,High GPA,Above Average GPA
2095,1,14,1,8,1,1,1,1,1,1,1,0,0,0,1,0,0,20,0,10,17,29,14,12.5625,4,7,12,24,12,12.857142857142858,1,15.5,2.8,-4.06,Graduate,Average GPA,Average GPA
2096,1,4,1,12,1,3,1,1,1,1,1,0,0,0,1,0,0,26,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,13.9,-0.3,0.79,Dropout,Very Low GPA,Very Low GPA
2097,1,1,2,10,1,1,1,1,1,1,1,1,0,0,1,0,0,21,0,0,6,8,5,12.4,0,0,6,6,6,12.0,0,12.4,0.5,1.79,Graduate,Average GPA,Average GPA
2098,1,9,1,12,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,8,9,8,13.78125,1,0,8,9,8,13.78125,1,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
2099,1,8,2,11,1,1,1,1,1,1,1,1,0,1,1,0,0,19,0,0,6,10,6,12.166666666666666,0,0,6,8,5,11.666666666666666,0,16.2,0.3,-0.92,Dropout,Average GPA,Low GPA
2101,1,9,1,3,0,1,1,1,1,1,1,0,0,1,1,0,0,20,0,0,6,13,4,10.8,0,0,6,15,4,12.0,0,16.2,0.3,-0.92,Graduate,Low GPA,Average GPA
2102,1,1,6,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,7,8,7,13.26,0,0,8,8,8,14.28625,0,15.5,2.8,-4.06,Graduate,Average GPA,Above Average GPA
2103,1,1,2,15,1,1,1,1,1,1,1,1,0,0,0,0,0,20,0,0,6,10,4,12.0,0,0,6,15,3,10.666666666666666,0,7.6,2.6,0.32,Dropout,Average GPA,Low GPA
2104,1,1,1,10,1,1,1,1,1,1,1,0,1,0,1,0,1,20,0,0,6,9,6,11.875,0,0,6,7,6,14.428571428571429,0,16.2,0.3,-0.92,Graduate,Low GPA,Above Average GPA
2107,1,1,1,15,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,13.333333333333334,0,0,6,9,5,13.2,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
2109,1,15,1,6,1,14,1,1,1,1,1,1,0,0,1,0,0,22,0,2,6,7,6,14.428571428571429,0,1,6,9,5,13.0,0,13.9,-0.3,0.79,Graduate,Above Average GPA,Average GPA
2111,1,8,1,4,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,6,7,6,15.0,0,0,6,8,6,14.333333333333334,0,12.4,0.5,1.79,Graduate,Above Average GPA,Above Average GPA
2112,1,1,2,13,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,7,9,7,15.155555555555557,0,0,8,8,8,16.8,0,12.7,3.7,-1.7,Graduate,Above Average GPA,High GPA
2113,1,1,1,10,1,1,1,1,1,1,1,1,0,1,1,0,0,20,0,0,6,8,6,10.666666666666666,0,0,6,7,6,11.857142857142858,0,11.1,0.6,2.02,Graduate,Low GPA,Low GPA
2114,1,8,1,16,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,9,5,11.0,0,0,6,9,4,11.25,0,10.8,1.4,1.74,Dropout,Low GPA,Low GPA
2115,1,8,2,14,1,1,1,1,1,1,1,1,0,0,1,0,0,21,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,Very Low GPA,Very Low GPA
2116,1,1,1,10,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,6,7,6,12.285714285714286,0,0,6,7,6,12.0,0,12.4,0.5,1.79,Graduate,Average GPA,Average GPA
2117,1,1,5,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,8,8,8,12.82875,0,0,8,8,8,12.82875,0,9.4,-0.8,-3.12,Dropout,Average GPA,Average GPA
2118,1,1,4,15,1,1,4,1,1,1,1,1,0,0,1,0,0,18,1,0,6,6,6,12.666666666666666,0,0,6,8,5,14.4,0,7.6,2.6,0.32,Graduate,Average GPA,Above Average GPA
2120,1,8,1,6,1,1,1,1,1,1,1,1,0,1,0,0,1,21,0,0,6,16,2,13.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout,Average GPA,Very Low GPA
2121,1,1,1,9,1,1,1,1,1,1,1,0,0,1,1,0,0,19,0,0,5,10,5,10.875,0,0,5,8,4,12.4,0,13.9,-0.3,0.79,Graduate,Low GPA,Average GPA
2122,1,1,1,9,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,5,5,5,12.8,0,0,5,8,5,11.6,0,9.4,-0.8,-3.12,Graduate,Average GPA,Low GPA
2123,1,8,3,10,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,10,5,11.285714285714286,0,0,6,7,0,0.0,0,16.2,0.3,-0.92,Dropout,Low GPA,Very Low GPA
2124,1,1,1,2,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate,Very Low GPA,Very Low GPA
2125,1,14,1,11,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,6,0,0,0.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Dropout,Very Low GPA,Low GPA
2126,1,8,2,12,1,1,1,1,1,1,1,1,0,0,1,0,1,20,0,0,7,9,6,13.766666666666666,0,0,8,9,8,13.744444444444444,0,16.2,0.3,-0.92,Dropout,Average GPA,Average GPA
2127,1,1,3,12,1,1,1,1,1,1,1,1,0,0,0,0,0,18,0,0,8,9,6,12.758333333333333,1,0,8,9,6,12.758333333333333,1,9.4,-0.8,-3.12,Dropout,Average GPA,Average GPA
2128,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Dropout,Very Low GPA,Very Low GPA
2129,1,1,1,5,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,8,6,13.25,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
2131,1,1,1,10,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,6,8,6,12.25,0,0,6,8,6,12.0,0,16.2,0.3,-0.92,Graduate,Average GPA,Average GPA
2132,1,1,2,9,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,5,8,3,11.333333333333334,0,0,5,8,5,12.2,0,7.6,2.6,0.32,Graduate,Low GPA,Average GPA
2133,1,8,5,12,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,7,9,7,13.507142857142856,0,0,8,12,8,13.05,0,16.2,0.3,-0.92,Graduate,Average GPA,Average GPA
2134,1,1,3,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,8,8,7,13.614285714285714,0,0,8,8,7,13.614285714285714,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
2135,1,12,1,11,1,1,1,1,1,1,1,0,0,1,1,0,0,25,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout,Very Low GPA,Very Low GPA
2136,1,8,5,5,1,1,1,1,1,1,1,1,0,0,0,0,0,18,0,0,6,9,4,11.5,1,0,6,6,6,12.166666666666666,0,7.6,2.6,0.32,Graduate,Low GPA,Average GPA
2137,1,1,5,15,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,7,6,12.333333333333334,0,0,6,7,6,12.5,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
2138,1,8,2,13,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,7,7,7,11.971428571428572,0,0,8,8,8,14.4375,0,15.5,2.8,-4.06,Graduate,Low GPA,Above Average GPA
2139,1,1,1,9,1,1,1,1,1,1,1,0,0,1,0,0,1,20,0,0,5,12,2,13.0,1,0,5,13,2,11.5,0,9.4,-0.8,-3.12,Dropout,Average GPA,Low GPA
2141,1,8,4,6,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,5,12,2,13.5,0,0,5,12,5,11.285714285714286,1,10.8,1.4,1.74,Graduate,Average GPA,Low GPA
2142,1,8,1,10,1,1,1,1,1,1,1,1,0,0,1,0,0,21,0,0,6,8,6,12.166666666666666,0,0,6,7,6,13.285714285714286,0,11.1,0.6,2.02,Graduate,Average GPA,Average GPA
2143,1,1,2,2,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate,Very Low GPA,Very Low GPA
2144,2,12,1,3,0,9,1,2,2,2,2,0,0,0,1,0,0,42,0,0,6,6,6,11.666666666666666,0,0,6,6,6,13.666666666666666,0,10.8,1.4,1.74,Graduate,Low GPA,Average GPA
2146,1,1,1,5,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,6,7,5,13.4,0,0,6,6,6,12.833333333333334,0,15.5,2.8,-4.06,Graduate,Average GPA,Average GPA
2147,1,1,6,11,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,11,6,12.0,0,0,6,11,4,12.5,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
2148,1,5,1,6,1,1,1,1,1,1,1,1,0,0,1,0,0,21,0,0,5,6,5,14.2,0,0,5,5,5,14.8,0,10.8,1.4,1.74,Graduate,Above Average GPA,Above Average GPA
2149,1,1,1,10,1,1,1,1,1,1,1,0,0,0,1,0,1,20,0,0,6,8,6,12.125,0,0,6,7,6,14.428571428571429,0,16.2,0.3,-0.92,Graduate,Average GPA,Above Average GPA
2150,1,1,1,16,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,7,7,7,13.857142857142858,0,0,7,7,7,13.285714285714286,0,11.1,0.6,2.02,Graduate,Average GPA,Average GPA
2152,1,1,4,12,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,7,9,7,14.283333333333337,0,0,8,9,8,13.125555555555556,0,15.5,2.8,-4.06,Graduate,Above Average GPA,Average GPA
2153,1,13,1,10,1,1,1,1,1,1,1,0,0,0,1,0,0,21,0,10,13,21,11,13.272727272727272,0,6,11,13,9,13.0,0,7.6,2.6,0.32,Graduate,Average GPA,Average GPA
2154,1,1,1,5,1,1,1,1,1,1,1,1,1,0,1,0,0,19,0,0,6,6,6,14.666666666666666,0,0,6,7,6,15.142857142857142,0,8.9,1.4,3.51,Graduate,Above Average GPA,Above Average GPA
2155,1,1,1,12,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,7,10,7,15.114999999999998,0,0,8,10,8,15.092,0,15.5,2.8,-4.06,Graduate,Above Average GPA,Above Average GPA
2157,1,15,1,6,1,14,1,1,1,1,1,1,0,0,1,0,0,22,0,1,6,13,6,15.0,0,1,6,7,6,13.142857142857142,0,16.2,0.3,-0.92,Graduate,Above Average GPA,Average GPA
2158,1,1,2,16,1,1,1,1,1,1,1,0,0,0,1,0,0,21,0,0,6,8,5,13.2,0,0,6,9,5,14.333333333333334,0,9.4,-0.8,-3.12,Graduate,Average GPA,Above Average GPA
2159,1,8,4,11,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,6,14,2,11.0,0,0,6,14,3,10.333333333333334,0,7.6,2.6,0.32,Dropout,Low GPA,Low GPA
2160,1,1,4,12,1,1,1,1,1,1,1,0,0,0,1,0,1,20,0,0,8,8,7,14.565714285714288,0,0,8,8,7,14.565714285714288,0,10.8,1.4,1.74,Graduate,Above Average GPA,Above Average GPA
2161,1,8,2,14,1,1,1,1,1,1,1,1,0,1,0,0,0,18,0,0,5,8,3,12.0,0,0,5,6,4,10.75,0,7.6,2.6,0.32,Dropout,Average GPA,Low GPA
2162,1,8,1,10,1,1,1,1,1,1,1,0,0,0,1,0,0,20,0,0,6,6,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout,Very Low GPA,Very Low GPA
2163,1,8,4,12,1,1,1,1,1,1,1,1,0,0,1,0,0,23,0,0,7,7,6,13.796666666666669,0,0,8,11,7,13.775,0,12.4,0.5,1.79,Graduate,Average GPA,Average GPA
2164,1,1,2,15,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,14.833333333333334,0,0,6,6,6,15.333333333333334,0,12.7,3.7,-1.7,Graduate,Above Average GPA,Above Average GPA
2165,1,15,1,10,1,14,1,1,1,1,1,1,0,0,1,0,0,20,0,3,6,6,6,12.833333333333334,0,2,6,6,6,13.833333333333334,0,12.4,0.5,1.79,Graduate,Average GPA,Average GPA
2166,1,8,1,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,8,8,7,14.962857142857144,0,0,8,8,7,14.962857142857144,0,10.8,1.4,1.74,Graduate,Above Average GPA,Above Average GPA
2167,1,1,6,9,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,5,8,4,12.0,0,0,5,8,5,11.2,0,11.1,0.6,2.02,Graduate,Average GPA,Low GPA
2168,1,9,2,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,7,8,7,12.4,0,0,8,9,8,12.8,0,16.2,0.3,-0.92,Graduate,Average GPA,Average GPA
2169,1,8,1,14,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,6,7,6,15.571428571428571,0,0,6,6,6,17.166666666666668,0,16.2,0.3,-0.92,Graduate,Above Average GPA,High GPA
2170,1,1,5,12,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,8,8,7,13.714285714285714,0,0,8,8,7,13.714285714285714,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
2171,1,15,1,6,1,14,1,1,1,1,1,0,0,0,1,0,0,21,0,2,6,9,6,13.142857142857142,0,0,6,9,6,12.166666666666666,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
2172,2,4,1,5,1,17,1,2,2,2,2,0,0,0,1,0,0,33,0,0,6,7,6,15.0,0,0,6,8,3,11.0,0,11.1,0.6,2.02,Graduate,Above Average GPA,Low GPA
2173,1,1,1,6,1,1,1,1,1,1,1,0,0,1,0,0,0,24,0,0,5,6,1,13.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Average GPA,Very Low GPA
2174,1,14,1,10,1,1,1,1,1,1,1,0,0,0,1,0,1,20,0,8,11,12,11,12.0,0,6,11,14,11,12.75,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
2175,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate,Very Low GPA,Very Low GPA
2176,1,1,4,5,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,15.166666666666666,0,0,6,6,6,14.166666666666666,0,15.5,2.8,-4.06,Graduate,Above Average GPA,Above Average GPA
2177,1,14,1,3,0,6,1,1,1,1,1,0,0,1,1,0,0,29,0,1,6,9,4,12.0,0,1,6,13,2,10.5,0,7.6,2.6,0.32,Dropout,Average GPA,Low GPA
2178,1,8,1,12,1,1,1,1,1,1,1,0,1,0,1,0,0,18,0,0,7,7,7,13.642857142857142,0,0,8,11,8,14.772727272727272,0,16.2,0.3,-0.92,Graduate,Average GPA,Above Average GPA
2179,1,1,3,15,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,8,6,12.666666666666666,0,0,6,7,6,12.714285714285714,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
2180,1,8,1,2,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,Very Low GPA,Very Low GPA
2181,1,8,1,10,1,1,1,1,1,1,1,0,0,0,1,0,1,18,0,0,6,8,5,10.8,0,0,6,9,6,10.5,0,12.4,0.5,1.79,Graduate,Low GPA,Low GPA
2182,1,14,1,12,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,7,9,6,14.25,0,0,8,11,8,13.063636363636364,0,16.2,0.3,-0.92,Graduate,Above Average GPA,Average GPA
2183,1,13,1,16,1,1,1,1,1,1,1,0,0,0,1,0,0,20,0,6,14,22,12,12.153846153846152,0,5,12,18,10,12.9,0,10.8,1.4,1.74,Dropout,Average GPA,Average GPA
2185,1,8,1,11,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,6,10,4,12.25,0,0,6,9,3,12.333333333333334,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
2187,1,1,6,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,8,8,8,13.40375,0,0,8,8,8,13.40375,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
2188,1,8,1,11,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,6,15,6,11.333333333333334,0,0,6,9,3,12.666666666666666,0,9.4,-0.8,-3.12,Graduate,Low GPA,Average GPA
2189,1,8,4,15,1,1,1,1,1,1,1,0,0,1,1,1,0,20,0,0,6,7,5,12.2,0,0,6,6,6,12.333333333333334,0,12.7,3.7,-1.7,Dropout,Average GPA,Average GPA
2191,1,1,6,12,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,16.2,0.3,-0.92,Dropout,Very Low GPA,Very Low GPA
2192,1,12,1,4,1,1,1,1,1,1,1,0,0,1,0,1,0,35,0,0,6,8,5,16.166666666666668,0,0,6,10,4,16.0,0,8.9,1.4,3.51,Dropout,High GPA,High GPA
2194,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate,Very Low GPA,Very Low GPA
2198,1,1,3,9,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,5,8,3,11.0,0,0,5,7,2,10.0,0,12.7,3.7,-1.7,Dropout,Low GPA,Low GPA
2199,1,12,2,13,1,1,1,1,1,1,1,0,0,0,1,1,0,24,0,0,7,18,0,0.0,0,0,7,13,0,0.0,1,11.1,0.6,2.02,Dropout,Very Low GPA,Very Low GPA
2200,1,12,1,3,0,1,1,1,1,1,1,1,0,1,0,1,0,29,0,0,6,11,4,12.5,0,0,6,7,0,0.0,0,12.4,0.5,1.79,Dropout,Average GPA,Very Low GPA
2201,1,12,1,12,1,1,1,1,1,1,1,0,0,0,1,1,0,24,0,0,7,11,7,11.294444444444444,0,0,8,22,2,12.6,0,15.5,2.8,-4.06,Graduate,Low GPA,Average GPA
2202,1,8,2,11,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,6,8,5,11.2,0,0,6,11,4,12.5,0,15.5,2.8,-4.06,Graduate,Low GPA,Average GPA
2203,2,4,1,2,1,3,1,2,2,2,2,1,0,0,1,1,0,37,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Dropout,Very Low GPA,Very Low GPA
2204,1,3,2,5,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,6,7,5,13.2,0,0,6,6,5,11.8,0,16.2,0.3,-0.92,Graduate,Average GPA,Low GPA
2206,1,1,5,9,1,1,1,1,1,1,1,1,0,0,0,1,0,18,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,11.1,0.6,2.02,Dropout,Very Low GPA,Very Low GPA
2209,1,1,5,15,1,1,1,1,1,1,1,1,0,1,0,1,0,18,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout,Very Low GPA,Very Low GPA
2210,1,1,3,12,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,8,8,7,13.1,0,0,8,8,7,13.1,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
2211,1,1,1,5,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,6,6,6,13.5,0,0,6,6,6,13.166666666666666,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
2213,1,1,1,10,1,1,1,1,1,1,1,0,0,0,1,1,0,19,0,0,6,10,5,11.571428571428571,0,0,6,10,3,13.0,0,16.2,0.3,-0.92,Dropout,Low GPA,Average GPA
2214,1,15,1,4,1,14,1,1,1,1,1,1,0,1,1,1,0,21,0,0,6,7,6,15.285714285714286,0,0,6,6,6,15.166666666666666,0,12.4,0.5,1.79,Graduate,Above Average GPA,Above Average GPA
2216,1,9,2,13,1,1,1,1,1,1,1,0,0,0,1,1,0,18,0,0,7,11,6,13.433333333333332,0,0,7,10,4,13.6,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
2217,1,7,2,9,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,5,8,5,11.6,0,0,5,9,3,11.0,0,10.8,1.4,1.74,Dropout,Low GPA,Low GPA
2218,1,4,1,15,1,17,1,1,1,1,1,0,0,0,1,1,0,25,0,0,6,6,6,14.666666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate,Above Average GPA,Average GPA
2219,1,1,1,5,1,1,1,1,1,1,1,1,0,0,1,1,0,22,0,0,6,9,6,14.666666666666666,0,0,6,12,6,14.666666666666666,0,12.7,3.7,-1.7,Graduate,Above Average GPA,Above Average GPA
2220,1,12,1,12,1,1,1,1,1,1,1,0,0,0,1,1,0,24,0,0,8,8,7,12.742857142857144,0,0,8,8,7,12.742857142857144,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
2221,1,1,2,12,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,7,9,7,11.975,0,0,8,9,7,13.12857142857143,0,13.9,-0.3,0.79,Graduate,Low GPA,Average GPA
2223,1,8,1,2,1,1,1,1,1,1,1,0,0,0,0,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Very Low GPA,Very Low GPA
2224,1,1,2,12,1,1,1,1,1,1,1,1,0,0,1,1,1,19,0,0,8,8,7,14.935714285714283,0,0,8,8,7,14.935714285714283,0,10.8,1.4,1.74,Graduate,Above Average GPA,Above Average GPA
2225,1,14,3,11,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,1,6,16,2,10.5,0,0,6,15,4,10.0,0,7.6,2.6,0.32,Dropout,Low GPA,Low GPA
2226,1,1,1,14,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,6,9,5,13.333333333333334,0,0,6,6,5,13.0,0,12.4,0.5,1.79,Graduate,Average GPA,Average GPA
2227,1,14,1,4,1,1,1,1,1,1,1,0,0,1,1,1,0,23,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout,Very Low GPA,Very Low GPA
2228,2,12,1,15,1,1,1,2,2,2,2,0,0,0,1,1,0,47,0,0,6,12,5,13.8,0,0,6,13,4,14.0,0,12.7,3.7,-1.7,Dropout,Average GPA,Above Average GPA
2229,1,1,1,5,1,1,1,1,1,1,1,0,0,0,1,1,0,19,0,0,6,6,6,11.833333333333334,0,0,6,8,4,10.75,2,16.2,0.3,-0.92,Graduate,Low GPA,Low GPA
2230,1,1,4,2,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Very Low GPA,Very Low GPA
2231,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout,Very Low GPA,Very Low GPA
2232,1,14,1,9,1,1,1,1,1,1,1,0,0,0,1,1,0,28,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Dropout,Low GPA,Very Low GPA
2233,1,14,1,11,1,6,1,1,1,1,1,1,0,0,1,1,0,20,0,0,6,10,4,11.5,0,0,6,11,3,11.666666666666666,0,7.6,2.6,0.32,Dropout,Low GPA,Low GPA
2235,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate,Very Low GPA,Very Low GPA
2237,1,12,1,11,1,12,1,1,1,1,1,0,0,1,0,1,0,24,0,0,6,7,0,0.0,0,0,6,7,0,0.0,0,16.2,0.3,-0.92,Dropout,Very Low GPA,Very Low GPA
2240,1,12,1,11,1,1,1,1,1,1,1,0,0,0,1,1,0,28,0,0,6,10,6,13.0,0,0,6,8,5,12.2,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
2243,1,8,4,12,1,1,1,1,1,1,1,1,0,0,1,1,1,18,0,0,7,7,7,13.462857142857144,0,0,8,8,8,13.90625,0,11.1,0.6,2.02,Graduate,Average GPA,Average GPA
2244,1,12,1,11,1,12,1,1,1,1,1,0,0,0,1,1,0,48,0,0,6,13,3,10.0,0,0,6,15,1,10.0,0,7.6,2.6,0.32,Dropout,Low GPA,Low GPA
2245,1,8,4,10,1,1,1,1,1,1,1,1,0,0,1,1,0,21,0,0,6,6,6,12.333333333333334,0,0,6,7,6,13.666666666666666,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
